measuring PROFILE overhead..done
  seconds  |     gc     |      consed     |    calls    |  sec/call  |  name  
     0.004 |      0.000 |      13,497,136 |     715,000 |   0.000000 | (SETF LISA::TOKEN-NOT-COUNTER)
     0.004 |      0.000 |               0 |     285,014 |   0.000000 | LISA::GET-CLASS-NAME
     0.004 |      0.000 |       5,898,240 |     500,043 |   0.000000 | LISA::RETE-META-DATA
     0.004 |      0.000 |      26,928,720 |     585,000 |   0.000000 | (SETF LISA::RETE-NEXT-FACT-ID)
     0.004 |      0.000 |       6,291,456 |     410,000 |   0.000000 | (SETF LISA::RETE-FIRING-COUNT)
     0.004 |      0.000 |               0 |      10,000 |   0.000000 | LISA::FORGET-ALL-FACTS
     0.004 |      0.000 |      14,545,440 |     685,000 |   0.000000 | LISA::ACTIVE-CONTEXT
     0.004 |      0.000 |               0 |       5,000 |   0.000001 | LISA::NEXT-CONTEXT
     0.003 |      0.000 |     204,226,576 |   1,550,000 |   0.000000 | LISA::TOKEN-NOT-COUNTER
     0.003 |      0.000 |         589,680 |     405,031 |   0.000000 | LISA::RULE-BEHAVIOR
     0.003 |      0.000 |      47,439,920 |   1,080,031 |   0.000000 | LISA:RETE-NETWORK
     0.002 |      0.000 |               0 |       5,000 |   0.000000 | LISA::RESET-ACTIVATIONS
     0.002 |      0.000 |       1,207,888 |         158 |   0.000013 | LISA::MAKE-NODE1
     0.002 |      0.000 |      11,859,120 |     355,014 |   0.000000 | LISA::GET-SLOT-LIST
     0.001 |      0.000 |               0 |       5,000 |   0.000000 | LISA::REMOVE-ACTIVATIONS
     0.001 |      0.000 |       6,291,456 |      70,000 |   0.000000 | LISA::FACT-META-DATA
     0.001 |      0.000 |               0 |       5,000 |   0.000000 | LISA::HALT-ENGINE
     0.001 |      0.000 |               0 |     505,000 |   0.000000 | LISA::TOKEN-FACTS
     0.001 |      0.000 |               0 |       5,000 |   0.000000 | LISA::STARTING-CONTEXT
     0.001 |      0.000 |         719,712 |          18 |   0.000062 | LISA::MAKE-NODE2-NOT
     0.001 |      0.000 |               0 |      10,062 |   0.000000 | LISA::MAKE-CONTEXT-NAME
     0.001 |      0.000 |      14,086,800 |     685,000 |   0.000000 | LISA::RETE-HALTED
     0.001 |      0.000 |               0 |     580,000 |   0.000000 | (SETF LISA:FACT-ID)
     0.001 |      0.000 |               0 |       5,000 |   0.000000 | LISA::DEFFACTS-FACT-LIST
     0.001 |      0.000 |         522,416 |          31 |   0.000019 | LISA::MAKE-TERMINAL-NODE
     0.001 |      0.000 |         583,536 |           1 |   0.000511 | LISA::MAKE-DEFFACTS
     0.000 |      0.000 |               0 |      15,062 |   0.000000 | LISA::RETE-CONTEXTS
     0.000 |      0.000 |               0 |     210,031 |   0.000000 | LISA::RULE-LOGICAL-MARKER
     0.000 |      0.000 |               0 |       5,001 |   0.000000 | LISA::RETE-AUTOFACTS
     0.000 |      0.000 |         196,448 |           3 |   0.000110 | LISA::MAKE-INTRA-PATTERN-PREDICATE
     0.000 |      0.000 |       4,128,480 |   1,080,031 |   0.000000 | LISA::RETE-ROOTS
     0.000 |      0.000 |      13,434,880 |     405,000 |   0.000000 | LISA::ACTIVATION-TOKENS
     0.000 |      0.000 |       1,767,184 |          31 |   0.000008 | LISA::MAKE-RULE
     0.000 |      0.000 |               0 |      15,000 |   0.000000 | (SETF LISA::RETE-FOCUS-STACK)
     0.000 |      0.000 |         131,040 |           5 |   0.000029 | LISA::ACQUIRE-META-DATA
     0.000 |      0.000 |               0 |      15,000 |   0.000000 | LISA::RETE-FOCUS-STACK
     0.000 |      0.000 |               0 |      10,000 |   0.000000 | (SETF LISA::RETE-HALTED)
     0.000 |      0.000 |          65,520 |         386 |   0.000000 | LISA::SIMPLE-SLOT-P
     0.000 |      0.000 |               0 |          81 |   0.000001 | LISA::JOIN-NODE-ADD-TEST
     0.000 |      0.000 |         131,072 |         259 |   0.000000 | LISA::INCREMENT-USE-COUNT
