
;; (time (lisa-user::run-mab 500))

Evaluation took:
  3.086 seconds of real time
  1.756481 seconds of total run time (1.722465 user, 0.034016 system)
  [ Real times consist of 0.093 seconds GC time, and 2.993 seconds non-GC time. ]
  [ Run times consist of 0.093 seconds GC time, and 1.664 seconds non-GC time. ]
  56.90% CPU
  314 lambdas converted
  2,348,421,120 bytes consed

;; SBCL's deterministic profiler results (500 iterations) on MacOS with Apple
;; silicon (ARM64 M2 Pro):

measuring PROFILE overhead..done
  seconds  |     gc     |     consed     |    calls   |  sec/call  |  name  
     0.000 |      0.000 |      4,849,040 |    108,000 |   0.000000 | LISA:RETE-NETWORK
     0.000 |      0.000 |      2,031,616 |        500 |   0.000000 | LISA:RUN
     0.000 |      0.004 |      7,666,384 |    392,000 |   0.000000 | LISA:RULE-SALIENCE
     0.000 |      0.000 |      2,293,200 |    107,500 |   0.000000 | LISA:FACT-ID
     0.000 |      0.000 |      2,162,592 |     58,000 |   0.000000 | (SETF LISA:FACT-ID)
     0.000 |      0.000 |        393,136 |     94,500 |   0.000000 | LISA::ACTIVATION-ELIGIBLE
     0.000 |      0.000 |              0 |     27,000 |   0.000000 | (SETF LISA::ACTIVATION-ELIGIBLE)
     0.000 |      0.000 |              0 |        500 |   0.000000 | LISA::RETE-AUTOFACTS
     0.000 |      0.000 |      7,082,256 |    108,500 |   0.000000 | LISA::FACT-ID-TABLE
     0.000 |      0.004 |     63,954,720 |    291,500 |   0.000000 | LISA::ADD-TOKENS-TO-LEFT-MEMORY
     0.000 |      0.000 |     15,136,240 |     28,500 |   0.000000 | LISA::FIND-META-FACT
     0.000 |      0.000 |     14,219,648 |     58,000 |   0.000000 | LISA::REMEMBER-FACT
     0.000 |      0.002 |    279,154,208 |    497,000 |   0.000000 | LISA::TEST-AGAINST-RIGHT-MEMORY
     0.000 |      0.002 |      7,535,504 |    196,000 |   0.000000 | LISA::ACTIVATION-TIMESTAMP
     0.000 |      0.000 |      5,045,728 |     21,500 |   0.000000 | LISA::ENSURE-META-DATA-EXISTS
     0.000 |      0.008 |     62,709,488 |  2,341,500 |   0.000000 | LISA::NODE1-TEST
     0.000 |      0.000 |        196,592 |     58,000 |   0.000000 | LISA::RETE-NEXT-FACT-ID
     0.000 |      0.000 |        131,056 |     58,500 |   0.000000 | (SETF LISA::RETE-NEXT-FACT-ID)
     0.000 |      0.002 |     48,820,112 |    128,000 |   0.000000 | LISA::SET-SLOT-VALUE
     0.000 |      0.000 |    106,218,704 |    926,000 |   0.000000 | LISA::FORGET-TOKEN
     0.000 |      0.013 |     55,829,216 |  2,001,000 |   0.000000 | LISA::JOIN-NODE-LEFT-MEMORY
     0.000 |      0.000 |              0 |     40,500 |   0.000000 | LISA::RULE-BEHAVIOR
     0.000 |      0.000 |      2,817,872 |    288,500 |   0.000000 | LISA::RULE-ACTIVATIONS
     0.000 |      0.006 |     53,275,072 |  1,916,500 |   0.000000 | LISA::JOIN-NODE-RIGHT-MEMORY
     0.000 |      0.000 |     22,607,712 |     49,500 |   0.000000 | LISA::RETRACT-FACT
     0.000 |      0.000 |      6,552,832 |     40,500 |   0.000000 | LISA::FIRE-ACTIVATION
     0.000 |      0.004 |    143,048,752 |    618,500 |   0.000000 | LISA::ACCEPT-TOKENS-FROM-LEFT
     0.000 |      0.000 |      2,096,640 |      1,000 |   0.000000 | LISA::RESET-FOCUS-STACK
     0.000 |      0.000 |              0 |        500 |   0.000000 | LISA::CLEAR-ACTIVATIONS
     0.000 |      0.000 |     11,860,240 |     29,500 |   0.000000 | LISA::MODIFY-FACT
     0.000 |      0.000 |     18,676,160 |     49,500 |   0.000000 | LISA::FORGET-FACT
     0.000 |      0.000 |     72,509,088 |     40,500 |   0.000000 | LISA::FIRE-RULE
     0.000 |      0.000 |     29,946,560 |     68,000 |   0.000000 | LISA::GET-NEXT-ACTIVATION
     0.000 |      0.019 |    919,146,048 |  2,615,500 |   0.000000 | LISA::ACCEPT-TOKEN
     0.000 |      0.000 |    138,921,248 |  1,038,000 |   0.000000 | LISA::REMEMBER-TOKEN
     0.000 |      0.000 |              0 |     67,500 |   0.000000 | LISA::RULE-AUTO-FOCUS
     0.000 |      0.002 |     47,769,488 |    203,000 |   0.000000 | LISA::CONFLICT-SET
     0.000 |      0.000 |      1,375,840 |      7,000 |   0.000000 | LISA::MAKE-FACT-FROM-TEMPLATE
     0.000 |      0.000 |        262,112 |     68,500 |   0.000000 | LISA::ACTIVE-CONTEXT
     0.000 |      0.000 |      4,848,544 |     71,500 |   0.000000 | (SETF LISA::TOKEN-NOT-COUNTER)
     0.000 |      0.000 |     13,892,384 |     58,000 |   0.000000 | LISA::ASSERT-FACT
