measuring PROFILE overhead..done
  seconds  |     gc     |     consed    |    calls   |  sec/call  |  name  
     0.000 |      0.000 |             0 |     30,003 |   0.000000 | LISA::RETE-META-DATA
     0.000 |      0.000 |        65,520 |     42,900 |   0.000000 | (SETF LISA::TOKEN-NOT-COUNTER)
     0.000 |      0.000 |             0 |        300 |   0.000000 | LISA::REMOVE-ACTIVATIONS
     0.000 |      0.000 |             0 |     21,300 |   0.000000 | LISA::GET-SLOT-LIST
     0.000 |      0.000 |             0 |     56,700 |   0.000000 | LISA::ACTIVATION-ELIGIBLE
     0.000 |      0.000 |             0 |     41,100 |   0.000000 | LISA::RETE-HALTED
     0.000 |      0.000 |        65,520 |     24,300 |   0.000000 | LISA::RULE-BEHAVIOR
     0.000 |      0.000 |             0 |        600 |   0.000000 | LISA::MAKE-CONTEXT-NAME
     0.000 |      0.000 |             0 |        300 |   0.000000 | LISA::HALT-ENGINE
     0.000 |      0.000 |             0 |        900 |   0.000000 | LISA::RETE-FOCUS-STACK
     0.000 |      0.000 |             0 |        300 |   0.000000 | LISA::DEFFACTS-FACT-LIST
     0.000 |      0.000 |     3,932,160 |        300 |   0.000000 | LISA::CLEAR-ACTIVATIONS
     0.000 |      0.000 |             0 |     30,300 |   0.000000 | (SETF LISA::BELIEF-FACTOR)
     0.000 |      0.000 |             0 |        300 |   0.000000 | LISA::STARTING-CONTEXT
     0.000 |      0.000 |             0 |        900 |   0.000000 | LISA::RETE-CONTEXTS
     0.000 |      0.000 |        65,536 |     41,100 |   0.000000 | LISA::ACTIVE-CONTEXT
     0.000 |      0.000 |             0 |     30,300 |   0.000000 | LISA::TOKEN-FACTS
     0.000 |      0.000 |             0 |        900 |   0.000000 | (SETF LISA::RETE-FOCUS-STACK)
     0.000 |      0.000 |        65,536 |     16,200 |   0.000000 | (SETF LISA::ACTIVATION-ELIGIBLE)
     0.000 |      0.000 |             0 |     12,600 |   0.000000 | LISA::RULE-LOGICAL-MARKER
     0.000 |      0.000 |             0 |          1 |   0.000009 | LISA::ACQUIRE-META-DATA
     0.000 |      0.000 |             0 |        300 |   0.000000 | LISA::RETE-AUTOFACTS
     0.000 |      0.000 |             0 |          2 |   0.000001 | LISA::REGISTER-META-OBJECT
     0.000 |      0.000 |             0 |          2 |   0.000000 | LISA::MAKE-FACT-META-OBJECT
     0.000 |      0.000 |             0 |        300 |   0.000000 | LISA:RESET
